Order Number,Placed On,Item SKU,Item Name,Product Category,Units,Rate (INR),Buyer Email,Ship City,Order Status,Returned On
711475,2023-01-02 10:58:50,SKU-2317,Product SKU-2317,Home Decor,1,178.59,buyer0636@example.com,Mumbai,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2613,Product SKU-2613,Consumables,7,153.34,buyer0229@example.com,Pune,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2618,Product SKU-2618,Consumables,1,416.22,buyer0229@example.com,Pune,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2617,Product SKU-2617,Consumables,9,119.7,buyer0229@example.com,Pune,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2621,Product SKU-2621,Consumables,1,284.36,buyer0229@example.com,Pune,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2600,Product SKU-2600,Consumables,6,242.37,buyer0229@example.com,Pune,DELIVERED,
712639,2023-01-02 11:10:51,SKU-2620,Product SKU-2620,Consumables,9,295.72,buyer0229@example.com,Pune,DELIVERED,
704934,2023-01-02 13:26:35,SKU-2515,Product SKU-2515,Stationery,8,428.48,buyer0643@example.com,Pune,DELIVERED,
704934,2023-01-02 13:26:35,SKU-2511,Product SKU-2511,Stationery,4,326.64,buyer0643@example.com,Pune,DELIVERED,
711066,2023-01-02 16:29:37,SKU-2318,Product SKU-2318,Home Decor,9,211.55,buyer0497@example.com,Chennai,DELIVERED,
711066,2023-01-02 16:29:37,SKU-2310,Product SKU-2310,Home Decor,8,329.26,buyer0497@example.com,Chennai,DELIVERED,
711066,2023-01-02 16:29:37,SKU-2307,Product SKU-2307,Home Decor,4,431.04,buyer0497@example.com,Chennai,DELIVERED,
711066,2023-01-02 16:29:37,SKU-2303,Product SKU-2303,Home Decor,3,440.6,buyer0497@example.com,Chennai,DELIVERED,
704031,2023-01-02 16:57:37,SKU-2308,Product SKU-2308,Home Decor,4,519.36,buyer0034@example.com,Delhi,DELIVERED,
704031,2023-01-02 16:57:37,SKU-2309,Product SKU-2309,Home Decor,8,200.14,buyer0034@example.com,Delhi,DELIVERED,
700919,2023-01-02 17:39:16,SKU-2011,Product SKU-2011,Apparel,1,550.25,buyer0438@example.com,Delhi,DELIVERED,
700919,2023-01-02 17:39:16,SKU-2002,Product SKU-2002,Apparel,6,368.5,buyer0438@example.com,Delhi,DELIVERED,
700919,2023-01-02 17:39:16,SKU-2019,Product SKU-2019,Apparel,3,148.64,buyer0438@example.com,Delhi,DELIVERED,
701235,2023-01-02 18:02:07,SKU-2217,Product SKU-2217,Jewellery,9,315.28,buyer0171@example.com,Chennai,RETURNED,2023-02-12
701235,2023-01-02 18:02:07,SKU-2202,Product SKU-2202,Jewellery,5,544.66,buyer0171@example.com,Chennai,RETURNED,2023-02-12
701235,2023-01-02 18:02:07,SKU-2207,Product SKU-2207,Jewellery,2,139.98,buyer0171@example.com,Chennai,RETURNED,2023-02-12
701235,2023-01-02 18:02:07,SKU-2123,Product SKU-2123,Footwear,3,241.15,buyer0171@example.com,Chennai,RETURNED,2023-02-12
705245,2023-01-02 23:28:19,SKU-2511,Product SKU-2511,Stationery,8,321.24,buyer0267@example.com,Mumbai,RETURNED,2023-01-17
705245,2023-01-02 23:28:19,SKU-2505,Product SKU-2505,Stationery,6,559.04,buyer0267@example.com,Mumbai,RETURNED,2023-01-17
705245,2023-01-02 23:28:19,SKU-2510,Product SKU-2510,Stationery,3,950.03,buyer0267@example.com,Mumbai,RETURNED,2023-01-17
705344,2023-01-02 23:53:10,SKU-2522,Product SKU-2522,Stationery,1,356.66,buyer0645@example.com,Pune,DELIVERED,
705344,2023-01-02 23:53:10,SKU-2500,Product SKU-2500,Stationery,2,120.64,buyer0645@example.com,Pune,DELIVERED,
705344,2023-01-02 23:53:10,SKU-2519,Product SKU-2519,Stationery,5,603.92,buyer0645@example.com,Pune,DELIVERED,
705344,2023-01-02 23:53:10,SKU-2502,Product SKU-2502,Stationery,2,166.06,buyer0645@example.com,Pune,DELIVERED,
705344,2023-01-02 23:53:10,SKU-2521,Product SKU-2521,Stationery,4,193.74,buyer0645@example.com,Pune,DELIVERED,
714619,2023-01-03 00:16:29,SKU-2519,Product SKU-2519,Stationery,1,596.06,buyer0620@example.com,Bengaluru,DELIVERED,
715610,2023-01-03 01:09:51,SKU-2501,Product SKU-2501,Stationery,6,619.47,buyer0259@example.com,Mumbai,DELIVERED,
715610,2023-01-03 01:09:51,SKU-2506,Product SKU-2506,Stationery,1,891.94,buyer0259@example.com,Mumbai,DELIVERED,
715610,2023-01-03 01:09:51,SKU-2510,Product SKU-2510,Stationery,1,836.38,buyer0259@example.com,Mumbai,DELIVERED,
715610,2023-01-03 01:09:51,SKU-2518,Product SKU-2518,Stationery,3,357.12,buyer0259@example.com,Mumbai,DELIVERED,
715610,2023-01-03 01:09:51,SKU-2101,Product SKU-2101,Footwear,8,162.96,buyer0259@example.com,Mumbai,DELIVERED,
710093,2023-01-03 01:38:52,SKU-2302,Product SKU-2302,Home Decor,1,333.77,buyer0432@example.com,Pune,RETURNED,2023-02-12
710093,2023-01-03 01:38:52,SKU-2306,Product SKU-2306,Home Decor,8,621.1,buyer0432@example.com,Pune,RETURNED,2023-02-12
710093,2023-01-03 01:38:52,SKU-2320,Product SKU-2320,Home Decor,3,496.15,buyer0432@example.com,Pune,RETURNED,2023-02-12
710093,2023-01-03 01:38:52,SKU-2304,Product SKU-2304,Home Decor,1,161.36,buyer0432@example.com,Pune,RETURNED,2023-02-12
710093,2023-01-03 01:38:52,SKU-2307,Product SKU-2307,Home Decor,8,386.16,buyer0432@example.com,Pune,RETURNED,2023-02-12
710093,2023-01-03 01:38:52,SKU-2623,Product SKU-2623,Consumables,8,204.01,buyer0432@example.com,Pune,RETURNED,2023-02-12
712576,2023-01-03 06:29:41,SKU-2505,Product SKU-2505,Stationery,4,508.9,buyer0324@example.com,Mumbai,DELIVERED,
712576,2023-01-03 06:29:41,SKU-2509,Product SKU-2509,Stationery,2,197.3,buyer0324@example.com,Mumbai,DELIVERED,
712576,2023-01-03 06:29:41,SKU-2520,Product SKU-2520,Stationery,8,383.49,buyer0324@example.com,Mumbai,DELIVERED,
710036,2023-01-03 07:36:50,SKU-2013,Product SKU-2013,Apparel,4,395.24,buyer0034@example.com,Delhi,DELIVERED,
710036,2023-01-03 07:36:50,SKU-2011,Product SKU-2011,Apparel,6,477.09,buyer0034@example.com,Delhi,DELIVERED,
710036,2023-01-03 07:36:50,SKU-2022,Product SKU-2022,Apparel,9,311.24,buyer0034@example.com,Delhi,DELIVERED,
712996,2023-01-03 11:00:35,SKU-2505,Product SKU-2505,Stationery,6,547.92,buyer0580@example.com,Kolkata,DELIVERED,
700784,2023-01-03 11:36:59,SKU-2001,Product SKU-2001,Apparel,4,390.85,buyer0613@example.com,Chennai,RETURNED,2023-02-14
700784,2023-01-03 11:36:59,SKU-2023,Product SKU-2023,Apparel,5,796.74,buyer0613@example.com,Chennai,RETURNED,2023-02-14
700784,2023-01-03 11:36:59,SKU-2004,Product SKU-2004,Apparel,3,426.43,buyer0613@example.com,Chennai,RETURNED,2023-02-14
700784,2023-01-03 11:36:59,SKU-2020,Product SKU-2020,Apparel,1,686.5,buyer0613@example.com,Chennai,RETURNED,2023-02-14
700784,2023-01-03 11:36:59,SKU-2014,Product SKU-2014,Apparel,4,229.02,buyer0613@example.com,Chennai,RETURNED,2023-02-14
700784,2023-01-03 11:36:59,SKU-2002,Product SKU-2002,Apparel,9,445.24,buyer0613@example.com,Chennai,RETURNED,2023-02-14
707580,2023-01-03 14:04:46,SKU-2508,Product SKU-2508,Stationery,9,480.05,buyer0596@example.com,Hyderabad,DELIVERED,
707580,2023-01-03 14:04:46,SKU-2210,Product SKU-2210,Jewellery,3,531.99,buyer0596@example.com,Hyderabad,DELIVERED,
707847,2023-01-03 20:01:35,SKU-2312,Product SKU-2312,Home Decor,9,621.55,buyer0682@example.com,Kolkata,DELIVERED,
707847,2023-01-03 20:01:35,SKU-2300,Product SKU-2300,Home Decor,2,520.68,buyer0682@example.com,Kolkata,DELIVERED,
707847,2023-01-03 20:01:35,SKU-2307,Product SKU-2307,Home Decor,3,465.3,buyer0682@example.com,Kolkata,DELIVERED,
710927,2023-01-03 20:42:09,SKU-2016,Product SKU-2016,Apparel,5,292.14,buyer0495@example.com,Mumbai,DELIVERED,
710290,2023-01-03 22:40:09,SKU-2602,Product SKU-2602,Consumables,8,271.82,buyer0132@example.com,Hyderabad,DELIVERED,
710290,2023-01-03 22:40:09,SKU-2614,Product SKU-2614,Consumables,1,460.96,buyer0132@example.com,Hyderabad,DELIVERED,
710290,2023-01-03 22:40:09,SKU-2618,Product SKU-2618,Consumables,9,483.3,buyer0132@example.com,Hyderabad,DELIVERED,
710290,2023-01-03 22:40:09,SKU-2615,Product SKU-2615,Consumables,4,178.72,buyer0132@example.com,Hyderabad,DELIVERED,
710290,2023-01-03 22:40:09,SKU-2600,Product SKU-2600,Consumables,6,281.44,buyer0132@example.com,Hyderabad,DELIVERED,
711930,2023-01-03 23:15:00,SKU-2015,Product SKU-2015,Apparel,1,191.08,buyer0446@example.com,Mumbai,RETURNED,2023-02-20
711930,2023-01-03 23:15:00,SKU-2007,Product SKU-2007,Apparel,1,590.97,buyer0446@example.com,Mumbai,RETURNED,2023-02-20
711930,2023-01-03 23:15:00,SKU-2022,Product SKU-2022,Apparel,6,454.13,buyer0446@example.com,Mumbai,RETURNED,2023-02-20
711930,2023-01-03 23:15:00,SKU-2004,Product SKU-2004,Apparel,5,446.49,buyer0446@example.com,Mumbai,RETURNED,2023-02-20
711930,2023-01-03 23:15:00,SKU-2016,Product SKU-2016,Apparel,9,321.81,buyer0446@example.com,Mumbai,RETURNED,2023-02-20
705208,2023-01-03 23:27:53,SKU-2508,Product SKU-2508,Stationery,2,450.91,buyer0641@example.com,Kolkata,DELIVERED,
705208,2023-01-03 23:27:53,SKU-2510,Product SKU-2510,Stationery,3,934.39,buyer0641@example.com,Kolkata,DELIVERED,
705208,2023-01-03 23:27:53,SKU-2512,Product SKU-2512,Stationery,8,512.39,buyer0641@example.com,Kolkata,DELIVERED,
707623,2023-01-04 00:41:05,SKU-2221,Product SKU-2221,Jewellery,5,314.61,buyer0677@example.com,Mumbai,DELIVERED,
707623,2023-01-04 00:41:05,SKU-2210,Product SKU-2210,Jewellery,7,341.23,buyer0677@example.com,Mumbai,DELIVERED,
707623,2023-01-04 00:41:05,SKU-2508,Product SKU-2508,Stationery,4,307.92,buyer0677@example.com,Mumbai,DELIVERED,
715811,2023-01-04 01:20:58,SKU-2404,Product SKU-2404,Kitchenware,7,158.48,buyer0041@example.com,Pune,DELIVERED,
715811,2023-01-04 01:20:58,SKU-2411,Product SKU-2411,Kitchenware,3,188.99,buyer0041@example.com,Pune,DELIVERED,
715811,2023-01-04 01:20:58,SKU-2400,Product SKU-2400,Kitchenware,2,230.87,buyer0041@example.com,Pune,DELIVERED,
715811,2023-01-04 01:20:58,SKU-2402,Product SKU-2402,Kitchenware,5,223.86,buyer0041@example.com,Pune,DELIVERED,
715811,2023-01-04 01:20:58,SKU-2407,Product SKU-2407,Kitchenware,9,74.21,buyer0041@example.com,Pune,DELIVERED,
703223,2023-01-04 04:24:23,SKU-2320,Product SKU-2320,Home Decor,8,670.63,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703223,2023-01-04 04:24:23,SKU-2301,Product SKU-2301,Home Decor,8,364.86,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703223,2023-01-04 04:24:23,SKU-2321,Product SKU-2321,Home Decor,1,616.45,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703223,2023-01-04 04:24:23,SKU-2307,Product SKU-2307,Home Decor,9,521.96,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703223,2023-01-04 04:24:23,SKU-2310,Product SKU-2310,Home Decor,3,398.72,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703223,2023-01-04 04:24:23,SKU-2322,Product SKU-2322,Home Decor,4,521.61,buyer0571@example.com,Kolkata,RETURNED,2023-02-03
703864,2023-01-04 04:38:36,SKU-2010,Product SKU-2010,Apparel,7,400.43,buyer0134@example.com,Bengaluru,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2406,Product SKU-2406,Kitchenware,2,456.8,buyer0487@example.com,Mumbai,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2419,Product SKU-2419,Kitchenware,3,248.98,buyer0487@example.com,Mumbai,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2415,Product SKU-2415,Kitchenware,9,979.12,buyer0487@example.com,Mumbai,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2400,Product SKU-2400,Kitchenware,4,456.23,buyer0487@example.com,Mumbai,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2408,Product SKU-2408,Kitchenware,6,374.7,buyer0487@example.com,Mumbai,DELIVERED,
709244,2023-01-04 06:49:34,SKU-2410,Product SKU-2410,Kitchenware,6,252.51,buyer0487@example.com,Mumbai,DELIVERED,
715566,2023-01-04 06:55:34,SKU-2114,Product SKU-2114,Footwear,9,186.05,buyer0096@example.com,Pune,RETURNED,2023-01-11
715566,2023-01-04 06:55:34,SKU-2123,Product SKU-2123,Footwear,1,311.67,buyer0096@example.com,Pune,RETURNED,2023-01-11
715566,2023-01-04 06:55:34,SKU-2115,Product SKU-2115,Footwear,6,259.86,buyer0096@example.com,Pune,RETURNED,2023-01-11
715566,2023-01-04 06:55:34,SKU-2121,Product SKU-2121,Footwear,2,788.02,buyer0096@example.com,Pune,RETURNED,2023-01-11
710778,2023-01-04 07:28:01,SKU-2023,Product SKU-2023,Apparel,1,824.48,buyer0347@example.com,Delhi,DELIVERED,
710778,2023-01-04 07:28:01,SKU-2004,Product SKU-2004,Apparel,1,441.28,buyer0347@example.com,Delhi,DELIVERED,
710778,2023-01-04 07:28:01,SKU-2001,Product SKU-2001,Apparel,3,404.46,buyer0347@example.com,Delhi,DELIVERED,
710621,2023-01-04 08:30:03,SKU-2611,Product SKU-2611,Consumables,1,98.48,buyer0026@example.com,Mumbai,DELIVERED,
708734,2023-01-04 10:25:05,SKU-2311,Product SKU-2311,Home Decor,5,215.03,buyer0608@example.com,Kolkata,RETURNED,2023-02-24
708734,2023-01-04 10:25:05,SKU-2319,Product SKU-2319,Home Decor,6,98.99,buyer0608@example.com,Kolkata,RETURNED,2023-02-24
708734,2023-01-04 10:25:05,SKU-2305,Product SKU-2305,Home Decor,4,411.72,buyer0608@example.com,Kolkata,RETURNED,2023-02-24
708734,2023-01-04 10:25:05,SKU-2308,Product SKU-2308,Home Decor,5,315.65,buyer0608@example.com,Kolkata,RETURNED,2023-02-24
714191,2023-01-04 11:58:09,SKU-2101,Product SKU-2101,Footwear,9,217.63,buyer0337@example.com,Bengaluru,RETURNED,2023-02-23
714191,2023-01-04 11:58:09,SKU-2116,Product SKU-2116,Footwear,7,322.32,buyer0337@example.com,Bengaluru,RETURNED,2023-02-23
714191,2023-01-04 11:58:09,SKU-2121,Product SKU-2121,Footwear,1,982.44,buyer0337@example.com,Bengaluru,RETURNED,2023-02-23
714191,2023-01-04 11:58:09,SKU-2106,Product SKU-2106,Footwear,6,197.01,buyer0337@example.com,Bengaluru,RETURNED,2023-02-23
714191,2023-01-04 11:58:09,SKU-2113,Product SKU-2113,Footwear,7,1396.67,buyer0337@example.com,Bengaluru,RETURNED,2023-02-23
710346,2023-01-04 13:32:16,SKU-2507,Product SKU-2507,Stationery,2,323.97,buyer0572@example.com,Bengaluru,DELIVERED,
715291,2023-01-04 13:33:07,SKU-2116,Product SKU-2116,Footwear,5,324.34,buyer0610@example.com,Mumbai,RETURNED,2023-02-01
715291,2023-01-04 13:33:07,SKU-2118,Product SKU-2118,Footwear,4,814.93,buyer0610@example.com,Mumbai,RETURNED,2023-02-01
715291,2023-01-04 13:33:07,SKU-2117,Product SKU-2117,Footwear,4,563.31,buyer0610@example.com,Mumbai,RETURNED,2023-02-01
702620,2023-01-04 14:18:29,SKU-2008,Product SKU-2008,Apparel,3,297.14,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
702620,2023-01-04 14:18:29,SKU-2006,Product SKU-2006,Apparel,7,659.2,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
702620,2023-01-04 14:18:29,SKU-2013,Product SKU-2013,Apparel,5,554.79,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
702620,2023-01-04 14:18:29,SKU-2007,Product SKU-2007,Apparel,3,568.53,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
702620,2023-01-04 14:18:29,SKU-2018,Product SKU-2018,Apparel,5,225.02,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
702620,2023-01-04 14:18:29,SKU-2015,Product SKU-2015,Apparel,7,183.83,buyer0607@example.com,Mumbai,RETURNED,2023-02-23
710356,2023-01-04 15:03:17,SKU-2101,Product SKU-2101,Footwear,8,199.89,buyer0658@example.com,Mumbai,RETURNED,2023-02-25
710356,2023-01-04 15:03:17,SKU-2111,Product SKU-2111,Footwear,5,357.25,buyer0658@example.com,Mumbai,RETURNED,2023-02-25
710356,2023-01-04 15:03:17,SKU-2117,Product SKU-2117,Footwear,4,514.17,buyer0658@example.com,Mumbai,RETURNED,2023-02-25
710356,2023-01-04 15:03:17,SKU-2109,Product SKU-2109,Footwear,7,311.94,buyer0658@example.com,Mumbai,RETURNED,2023-02-25
706956,2023-01-04 15:14:49,SKU-2104,Product SKU-2104,Footwear,4,201.35,buyer0410@example.com,Mumbai,DELIVERED,
706956,2023-01-04 15:14:49,SKU-2111,Product SKU-2111,Footwear,6,364.56,buyer0410@example.com,Mumbai,DELIVERED,
706956,2023-01-04 15:14:49,SKU-2102,Product SKU-2102,Footwear,2,450.83,buyer0410@example.com,Mumbai,DELIVERED,
706956,2023-01-04 15:14:49,SKU-2105,Product SKU-2105,Footwear,5,539.22,buyer0410@example.com,Mumbai,DELIVERED,
706956,2023-01-04 15:14:49,SKU-2115,Product SKU-2115,Footwear,6,303.66,buyer0410@example.com,Mumbai,DELIVERED,
703175,2023-01-04 15:27:38,SKU-2007,Product SKU-2007,Apparel,6,553.95,buyer0403@example.com,Pune,RETURNED,2023-02-22
703175,2023-01-04 15:27:38,SKU-2016,Product SKU-2016,Apparel,7,301.65,buyer0403@example.com,Pune,RETURNED,2023-02-22
703175,2023-01-04 15:27:38,SKU-2319,Product SKU-2319,Home Decor,3,165.57,buyer0403@example.com,Pune,RETURNED,2023-02-22
709411,2023-01-04 15:29:30,SKU-2520,Product SKU-2520,Stationery,4,483.37,buyer0063@example.com,Hyderabad,DELIVERED,
709411,2023-01-04 15:29:30,SKU-2500,Product SKU-2500,Stationery,8,160.12,buyer0063@example.com,Hyderabad,DELIVERED,
709411,2023-01-04 15:29:30,SKU-2522,Product SKU-2522,Stationery,9,473.36,buyer0063@example.com,Hyderabad,DELIVERED,
702036,2023-01-04 15:42:04,SKU-2023,Product SKU-2023,Apparel,1,787.02,buyer0682@example.com,Kolkata,DELIVERED,
702036,2023-01-04 15:42:04,SKU-2013,Product SKU-2013,Apparel,8,544.06,buyer0682@example.com,Kolkata,DELIVERED,
702036,2023-01-04 15:42:04,SKU-2017,Product SKU-2017,Apparel,2,627.75,buyer0682@example.com,Kolkata,DELIVERED,
702036,2023-01-04 15:42:04,SKU-2114,Product SKU-2114,Footwear,9,207.84,buyer0682@example.com,Kolkata,DELIVERED,
715613,2023-01-04 17:14:54,SKU-2302,Product SKU-2302,Home Decor,2,215.18,buyer0370@example.com,Mumbai,DELIVERED,
715613,2023-01-04 17:14:54,SKU-2310,Product SKU-2310,Home Decor,1,190.17,buyer0370@example.com,Mumbai,DELIVERED,
715613,2023-01-04 17:14:54,SKU-2319,Product SKU-2319,Home Decor,9,84.55,buyer0370@example.com,Mumbai,DELIVERED,
711448,2023-01-04 21:10:30,SKU-2620,Product SKU-2620,Consumables,2,351.94,buyer0420@example.com,Mumbai,DELIVERED,
711448,2023-01-04 21:10:30,SKU-2604,Product SKU-2604,Consumables,1,330.91,buyer0420@example.com,Mumbai,DELIVERED,
711448,2023-01-04 21:10:30,SKU-2607,Product SKU-2607,Consumables,7,725.09,buyer0420@example.com,Mumbai,DELIVERED,
711448,2023-01-04 21:10:30,SKU-2603,Product SKU-2603,Consumables,3,347.23,buyer0420@example.com,Mumbai,DELIVERED,
704384,2023-01-04 23:09:30,SKU-2002,Product SKU-2002,Apparel,2,407.4,buyer0015@example.com,Mumbai,DELIVERED,
715939,2023-01-04 23:10:32,SKU-2316,Product SKU-2316,Home Decor,1,140.25,buyer0005@example.com,Kolkata,RETURNED,2023-02-24
715939,2023-01-04 23:10:32,SKU-2320,Product SKU-2320,Home Decor,2,383.69,buyer0005@example.com,Kolkata,RETURNED,2023-02-24
715939,2023-01-04 23:10:32,SKU-2322,Product SKU-2322,Home Decor,1,298.43,buyer0005@example.com,Kolkata,RETURNED,2023-02-24
715939,2023-01-04 23:10:32,SKU-2304,Product SKU-2304,Home Decor,9,124.79,buyer0005@example.com,Kolkata,RETURNED,2023-02-24
715939,2023-01-04 23:10:32,SKU-2301,Product SKU-2301,Home Decor,9,208.75,buyer0005@example.com,Kolkata,RETURNED,2023-02-24
706670,2023-01-05 01:05:00,SKU-2420,Product SKU-2420,Kitchenware,1,460.66,buyer0204@example.com,Mumbai,RETURNED,2023-01-22
706670,2023-01-05 01:05:00,SKU-2415,Product SKU-2415,Kitchenware,6,878.0,buyer0204@example.com,Mumbai,RETURNED,2023-01-22
705973,2023-01-05 01:07:45,SKU-2103,Product SKU-2103,Footwear,4,237.88,buyer0310@example.com,Bengaluru,RETURNED,2023-01-13
705973,2023-01-05 01:07:45,SKU-2119,Product SKU-2119,Footwear,6,156.43,buyer0310@example.com,Bengaluru,RETURNED,2023-01-13
705973,2023-01-05 01:07:45,SKU-2100,Product SKU-2100,Footwear,5,653.69,buyer0310@example.com,Bengaluru,RETURNED,2023-01-13
705973,2023-01-05 01:07:45,SKU-2105,Product SKU-2105,Footwear,8,535.55,buyer0310@example.com,Bengaluru,RETURNED,2023-01-13
705973,2023-01-05 01:07:45,SKU-2114,Product SKU-2114,Footwear,1,215.93,buyer0310@example.com,Bengaluru,RETURNED,2023-01-13
707306,2023-01-05 01:16:57,SKU-2320,Product SKU-2320,Home Decor,4,452.55,buyer0239@example.com,Kolkata,DELIVERED,
715612,2023-01-05 01:23:45,SKU-2607,Product SKU-2607,Consumables,6,767.17,buyer0074@example.com,Hyderabad,DELIVERED,
715612,2023-01-05 01:23:45,SKU-2600,Product SKU-2600,Consumables,2,305.19,buyer0074@example.com,Hyderabad,DELIVERED,
701869,2023-01-05 02:32:46,SKU-2111,Product SKU-2111,Footwear,9,264.01,buyer0134@example.com,Bengaluru,DELIVERED,
701869,2023-01-05 02:32:46,SKU-2117,Product SKU-2117,Footwear,7,379.97,buyer0134@example.com,Bengaluru,DELIVERED,
701869,2023-01-05 02:32:46,SKU-2420,Product SKU-2420,Kitchenware,1,461.09,buyer0134@example.com,Bengaluru,DELIVERED,
703955,2023-01-05 03:34:11,SKU-2104,Product SKU-2104,Footwear,7,178.21,buyer0285@example.com,Bengaluru,DELIVERED,
703955,2023-01-05 03:34:11,SKU-2113,Product SKU-2113,Footwear,9,1158.66,buyer0285@example.com,Bengaluru,DELIVERED,
703955,2023-01-05 03:34:11,SKU-2615,Product SKU-2615,Consumables,6,183.54,buyer0285@example.com,Bengaluru,DELIVERED,
707354,2023-01-05 05:57:53,SKU-2603,Product SKU-2603,Consumables,6,271.99,buyer0592@example.com,Mumbai,RETURNED,2023-02-02
707354,2023-01-05 05:57:53,SKU-2620,Product SKU-2620,Consumables,3,275.68,buyer0592@example.com,Mumbai,RETURNED,2023-02-02
707354,2023-01-05 05:57:53,SKU-2623,Product SKU-2623,Consumables,5,187.6,buyer0592@example.com,Mumbai,RETURNED,2023-02-02
707354,2023-01-05 05:57:53,SKU-2618,Product SKU-2618,Consumables,1,388.01,buyer0592@example.com,Mumbai,RETURNED,2023-02-02
707354,2023-01-05 05:57:53,SKU-2601,Product SKU-2601,Consumables,7,150.61,buyer0592@example.com,Mumbai,RETURNED,2023-02-02
